x,y,f1_106,f2_181,f3_280,f4_370,f5_493,f6_679,f7_725,f8_836,f9_979,f10_1191,f11_1369
0.126,0.200672,-0.000592227116789562-0.000355681955589866i,-0.00114495229057317-0.000194407206509551i,-0.00179183634121716+0.000704310749064001i,-0.00167464046221532+0.00242917908652171i,-0.00016073989919267+0.00415255923755185i,0.00301073050756192+0.00495420178882616i,0.00637562701558311+0.00318272210724723i,0.00767403626481172-0.000519876078920301i,0.00634523534234061-0.00408557956177346i,0.00345894207992661-0.00604249410880893i,0.000468883822014998-0.00621035998587288i
0.126,0.141814857142857,-0.0027370472979982-0.000260816440145601i,-0.00454473787957063-0.0017264384917374i,-0.0085447696172264-0.0010668730753034i,-0.0122047946110359+0.00386845756419234i,-0.0117237094512412+0.0118719385535323i,-0.00442461168540258+0.0205432667121335i,0.00838579398692952+0.0220000103178729i,0.018615002114791+0.0140956487224109i,0.0209010603382684+0.00230048091749366i,0.0162425223644804-0.00699443045391041i,0.00902400188286829-0.0111324851063846i
0.126,0.0829577142857143,-0.00504695931961967-0.00187940893956837i,-0.00859566496245656-0.00303898397142578i,-0.0144479279064917-0.000391462766859391i,-0.0185725056803916+0.00798974915311455i,-0.016627826509219+0.019630903539657i,-0.00502725524288981+0.0317916333555504i,0.0139694479954513+0.0333426760329465i,0.0290813238738319+0.0215558931099978i,0.0330041399866846+0.00393625400995033i,0.026707516492664-0.0107269329100131i,0.0159541804177239-0.0181091021090589i
0.126,0.0241005714285714,-0.00632397547031648+0.00259800754131375i,-0.00624398833769529+0.00477323869139656i,-0.00499682063467196+0.00703881369800015i,-0.0028505186416898+0.00868917517216458i,-0.000228989992231794+0.00944108451194708i,0.00419810823402446+0.0103690579067724i,0.00904094467175782+0.00883274561986953i,0.0125762147016007+0.00476709996429601i,0.0136871426851921-0.000716505763077286i,0.0121079283872737-0.00630507651006278i,0.0081418119029036-0.0107790452956175i
0.126,-0.0347565714285714,-0.00349629515804589+0.00143163613287809i,-0.00349882223823658+0.00275038902404586i,-0.00278012319043407+0.00416345191298159i,-0.00148539152332456+0.00522644293886358i,0.000132086192447438+0.00574968798280175i,0.00287793072920742+0.00641703450336658i,0.00595846720844838+0.00557190394886922i,0.00830988363454732+0.00311293999693379i,0.00920913881727546-0.000322449461907292i,0.00844775198796524-0.00395024109193381i,0.00616318545881254-0.00702893041492576i
0.126,-0.0936137142857143,-0.00756761153424872-0.0025592863942015i,-0.0127426822066712-0.00429356356790083i,-0.0214738947065471-0.00035257211000879i,-0.0276318891614356+0.0123252248166761i,-0.0244207363134746+0.0299465240645469i,-0.00648517746200474+0.0479788653909731i,0.0223640090589607+0.0495534900237422i,0.0447571645066131+0.030930952764813i,0.0497760500793227+0.00396030070342484i,0.0393804297215667-0.0178759103463052i,0.0226880960876539-0.0283323881584456i
0.126,-0.152470857142857,0.00299632798215834+0.000596875830083343i,0.00368458338737445+1.11101648249457e-05i,0.0040725760293283-0.000936542936117182i,0.00405781703959449-0.00196741573531124i,0.00368899230998127-0.00290277772697225i,0.00302752978666288-0.0044099655470901i,0.00160067106907896-0.00547509803636009i,-0.000180719672586152-0.00567898826922274i,-0.00181690342167022-0.00507836612527829i,-0.00301423512681976-0.00394523722283382i,-0.00364442786667919-0.00261258072320873i
0.126,-0.211328,0.000714460733493069+0.00113453423019769i,4.96143925360786e-05-0.00268603133113214i,-0.00458684338133291-0.00579499805884531i,-0.0120823348441834-0.00404063642009858i,-0.017365431426731+0.00409449327774067i,-0.0156287697385332+0.0173410530892721i,-0.00346835998992434+0.0264827656876436i,0.0116320715739251+0.0241146669920543i,0.0203778110926514+0.0129781912386255i,0.0201481760505258+0.000836689829338422i,0.0144874855368918-0.00689291527267253i
0.176,0.200672,-0.000990279162337161-0.000390420801006862i,-0.0016627343046202-0.000171375229497399i,-0.00232148115193037+0.000861467174421362i,-0.00211227274912523+0.00260260744018534i,-0.000569964355486037+0.00418629797488378i,0.00241224401057266+0.00474436593502676i,0.0052966295336166+0.0030343066335188i,0.00632356765807371-6.71273842230712e-05i,0.00527594799002546-0.00285843084504801i,0.00311936244822403-0.00428987228512066i,0.000968308119154709-0.00433888804430843i
0.176,0.141814857142857,-0.0028799260581931-0.000120197591882592i,-0.00496608385373291-0.00211263797825665i,-0.00936871912995708-0.00158951257807789i,-0.0130959286064551+0.00331568342040795i,-0.0124570669797543+0.0109879244583582i,-0.005224163344928+0.0186729396475741i,0.00627065923714546+0.0194285667332551i,0.0148349717199342+0.0126779847035609i,0.0167877949498945+0.00346889882130104i,0.0136624539437834-0.0033653436401291i,0.00902684091621795-0.00645452758455393i
