x,y,f_{1} = 112,f_{2} = 171.5,f_{3} = 286.5,f_{4} = 382,f_{5} = 502.5,f_{6} = 686,f_{7} = 737.5,f_{8} = 841.5,f_{9} = 994,f_{10} = 1206,f_{11} = 1382.5
0.074,-0.0936137142857143,0.0114061456876059+0i,0.00250920315159453+0.00688970831416469i,-0.0374031904644841+0.00757936075521637i,0.00383641113720242+0.075069740632629i,-0.0134384070886261-0.0310778170413058i,0.0174624052360012-0.0127241975569271i,0.0788291449942785-0.0410328335518836i,0.024914378932339-0.0383995563116741i,0.0617620843640506-0.366288877152261i,0.0842256238836131-0.0382006980422885i,0.0229228420275996-0.0553914892590033i
0.074,-0.0347565714285714,0.00509287717589571+0.00434185485703627i,0.00426987207056387+0i,-0.0178057281888395-0.00424037744614178i,-0.104352811058201-0.1309593128878i,-0.0180489109815933-0.0219738889411627i,0.0226251682521013-0.0242652842520456i,0.0287985991051554-0.0339850604046206i,0.0165982442142677-0.0217723812976554i,-0.00366335800571127-0.111970917526194i,0.0977951254952138-0.00985209914630828i,-0.0335175871118229-0.0121636169071514i
0.074,0.0241005714285714,0.00480854067542873+0i,0.0042001705797595+0i,0.00192903743983835-0.00652376712571599i,-0.171716155920627-0.253462255925392i,-0.0268900498316387-0.00270595830750278i,-0.00659774961547721-0.0219071272109337i,-0.00967215244429979-0.0305136242502241i,0.00978043251594018+0i,-0.0575444409005579+0.0487652821171049i,0.0478485622888491+0.0149403356223901i,-0.0191560728417134+0.0788000750592609i
0.074,0.0829577142857143,0.00542671354240999+0.00786855340795948i,0.00307602408258669+0.00766266428364181i,0.0174653723208946+0.0125194246459282i,-0.204888184498949-0.24115025030978i,-0.0488111147059345+0.00842160204297505i,-0.0551932198604802-0.0693479232918407i,-0.101257074131476-0.0696987911708374i,0.00204980101328439-0.0223672223660016i,0.0285668799370232-0.0645995734898369i,0.0648765181189382-0.00403636209284866i,0.0685422468236092+0.0249182159640707i
0.074,0.141814857142857,0.00743590510221211+0i,0.00275099370192889+0.0074550350185742i,0.00369323124466318+0.0223721155541901i,-0.00438826105109746+0.0339097957608907i,-0.01228664473081-0.0560667344366107i,-0.0514948426314508-0.0656720903030722i,-0.106727993036347-0.0652093759182981i,0.00189824864846503-0.0267259999601389i,0.096333221431976-0.177302573858079i,0.115308792959463-0.0288596906718342i,0.168209221707225-0.0925360500393385i
0.074,0.200672,0.00329524624346236+0i,0.00364689980021851+0i,0.00117540185782418+0.0147674907860112i,0.0329764983731364+0.0659672780787505i,-0.00289273636687414-0.0250779481830235i,-0.0211539211990466-0.0169424722223104i,-0.0467144255695714-0.0174701312652064i,-0.00448345501440581-0.010452131543234i,0.00764458409127433-0.108459349924251i,0.0312116804104311-0.077394409279551i,0.0304823108241586-0.0633481903908342i
0.126,-0.211328,0.00145481578516173+0.00528046362206197i,-0.00162575901439451+0.0033523714108271i,0.0104142121351519+0.0104316125407739i,-0.1638806770257+0.0185689479333148i,0.00107087620395349+0.0127880058840747i,0.0158081812488898+0.00916791457269488i,-0.0297610804029272-0.0140024754678091i,-0.00336218866595952-0.00578284144458731i,-0.0246418802645724-0.0666792301304935i,0.00367695444840463-0.0258769686438201i,0.00286745059060674-0.011016611186532i
0.126,-0.152470857142857,0.00205337399825414+0.00129172654933564i,0.000507022235111778+0.00145571799989758i,-0.00315287245959375+0.00320270557155569i,0.00835813796638881+0.0260542701739287i,-0.00249006257383699-0.00358941880315309i,-0.00266598971462233-0.00152288252874468i,0.0246650625287942-0.0111188806738468i,0.00264588663844896-0.00836126645388146i,-0.0341619392804814-0.113754938670139i,0.0206202961237902-0.0291815832670287i,0.00411816214010287-0.021097727374141i
0.126,-0.0936137142857143,0.00227208290260559+0.00176402082873766i,0.000501922041487516+0.00171049822370685i,-0.00721651729345362+0.00231827636789904i,-0.00540335575139619+0.0110919956850014i,-0.00426203969351081-0.00673626844434076i,0.00195251413776956-0.00485783732294003i,0.0203290045033894-0.015503824275079i,0.00435243239771608-0.0128777084626257i,-0.0402694524443877-0.11858440913722i,0.0350641947475547-0.0386248198157502i,-0.00609595697181162-0.0228622046183907i
0.126,-0.0347565714285714,0.00140660407359161+0.00134222243108225i,0.00131915647902239+0i,-0.00423996003455113-9.28337196986386e-05i,-0.0294777322653469-0.027755112374955i,-0.00595967431537165-0.00574653389809571i,0.00239740247299257-0.00794105886760504i,0.0102191549077298-0.0145337221015345i,0.00347233585218888-0.0100670414125634i,-0.0146251332762044-0.0618497906504737i,0.0408134764021131-0.0324018720138362i,-0.00840069357482948+0.00445112879019439i
0.126,0.0241005714285714,0.000929261512427116+0.00145174630267027i,0.00153278940854682+0i,-0.00103388636207259-0.00102771810105118i,-0.0462762740120783-0.0573930476769636i,-0.00787473668323426-0.0016465240026547i,-0.00483756065384491-0.00849656099707906i,-0.00332339417810814-0.0092393644709406i,0.006142933872752+0i,-0.00124191212379248-0.0211655728584505i,0.0353135511631664-0.0176427739869311i,0.0061818199484549+0.01190510666731i
0.126,0.0829577142857143,0.00130555367614315+0.00227949570321177i,0.000756463694121508+0.00219859406143774i,0.00261548583755074+0.0051588970540851i,-0.0354340327416525-0.0361485151499116i,-0.00972448339845083+0.000280616121905371i,-0.0155463227426171-0.01617530844908i,-0.0256079648892636-0.0151203804310394i,-0.000549374003103787-0.00980910116577735i,0.00890860603060612-0.0196354867851864i,0.0306922580384866-0.0219683987507379i,0.0405692100632802-0.026534661787435i
0.126,0.141814857142857,0.00237754512495439+0i,0.000833653059906107+0.00225445656697178i,0.0013668037795533+0.00699841701759986i,0.0028759638607388+0.0152184436724609i,-0.00364025865063474-0.0149520570828819i,-0.0180055323925737-0.0160640588549525i,-0.0296516865047545-0.015083679346964i,-0.000989113407446821-0.0113984232793812i,-0.00173245221283002-0.0451228013649522i,0.0333429308088985-0.0304618796870218i,0.05052729172648-0.0585670047436647i
0.126,0.200672,0.00130893698496728+0i,0.000520933345696365+0.00131285214810038i,0.000362218307434766+0.00401760103181043i,0.00645169853227996+0.0133566813071002i,-0.00391892512460138-0.00930938065289146i,-0.0124763607080482-0.00585013740286005i,-0.023717454499915-0.00423286249646447i,-0.00507809647274276-0.00532941701809003i,-0.0186783260109909-0.0373176937128494i,-0.00103746091925729-0.0351791877039793i,-0.0013958341645044-0.0515955097180735i
0.176,-0.211328,0.000307082258583101+0.000348326408999111i,7.21816740217649e-05+0.000319779301464523i,0.000357719525150795+0i,-0.00541457381058019+0.00522210467979429i,0.000111489141272612-0.00137750971445618i,-0.00116951512197773-0.000643067460943029i,0.0063711721430004-0.00424197469897426i,-0.000132551171814928-0.00174587648295132i,-0.0221724746943652-0.0311563483972262i,-0.00526637234841734-0.0135660419229431i,-0.0027822091781981-0.00802781761430343i
0.176,-0.152470857142857,0.000665062998438262+0.000514268473140074i,0.000186715818512378+0.000523442297726651i,-0.000955929075220486+0.000840903958309217i,-0.00506690070261062+0.00742511019869436i,-0.000463373513571162-0.000861687168853457i,-0.00119674279099319-0.0011469597464088i,0.00857831447287391-0.00758595015474036i,-0.000402725081316971-0.00257775943816531i,-0.0330702941692942-0.0436145504912536i,-2.13472290375045e-05-0.0189240803188236i,-0.00844689867853998-0.0117959521201319i
0.176,-0.0936137142857143,0.000616091235903073+0.000593824925255471i,0.000120867955138954+0.000570861574379179i,-0.00166841817999452+0.000818665153677827i,-0.00989480101849886+0.00182803432203723i,-0.00250865143437335-0.00246915869621084i,-0.000922744571750436-0.00212570862686699i,0.0055300617463619-0.00721177093369417i,-0.000479281688600923-0.00489979679944495i,-0.0414801862181556-0.0362990370489937i,0.00977392435339961-0.0279634825414827i,-0.0112412439596877-0.00788653610286988i
0.176,-0.0347565714285714,0.000524943205622688+0.000473300641120584i,0.000184907308454763+0.000512273509849927i,-0.00117118320761442+0.000196914913425112i,-0.0130862522191518-0.00773958131749651i,-0.00305831331428907-0.00289717973968949i,-0.00109594271012176-0.0029957507225352i,0.00367762566769343-0.00725807823413727i,-0.000885892671797106-0.00476777900873596i,-0.0172740184770973-0.0255204546045597i,0.0128472586754731-0.0327017878856357i,-0.00412917651819157-0.00361069060714112i
0.176,0.0241005714285714,0.000358530034539657+0.000520728628305037i,0.000208287576428+0.00061560530636366i,-0.000525576061894204+0.000234783922251282i,-0.0185880475708514-0.0149747839606072i,-0.00247080712522114-0.00135874512115475i,-0.00359541102803514-0.00310810260759981i,-0.00321219167297955-0.00354403443512482i,-0.00114987130956627-0.00297574444517788i,0.000358080036414958-0.00744381715151178i,0.0143572769207919-0.0226411170554902i,0.00104504957571478-0.00738197522633764i
